year,county_fips,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
2000,46053,0.3181214000886132,0.6588391670358883,DEMOCRAT,0.3181214000886132
2004,46053,0.319324430479183,0.6618224666142969,REPUBLICAN,0.6618224666142969
2008,46053,0.34761045987376016,0.6415689810640216,REPUBLICAN,0.6415689810640216
2012,46053,0.27847512784751277,0.700604370060437,DEMOCRAT,0.27847512784751277
2016,46053,0.18699186991869918,0.7651841224294595,DEMOCRAT,0.18699186991869918
2020,46053,0.20150575730735165,0.7843224092116917,REPUBLICAN,0.7843224092116917
2024,46053,0.1879135421261579,0.7895897662108513,DEMOCRAT,0.1879135421261579
2000,46055,0.14526129317980513,0.8308237378210807,DEMOCRAT,0.14526129317980513
2004,46055,0.17661290322580644,0.8120967741935484,REPUBLICAN,0.8120967741935484
2008,46055,0.16389132340052587,0.8229623137598597,REPUBLICAN,0.8229623137598597
2012,46055,0.12637362637362637,0.8608058608058609,DEMOCRAT,0.12637362637362637
2016,46055,0.07375478927203065,0.896551724137931,DEMOCRAT,0.07375478927203065
2020,46055,0.09234828496042216,0.9023746701846965,REPUBLICAN,0.9023746701846965
2024,46055,0.09333333333333334,0.8924444444444445,DEMOCRAT,0.09333333333333334
2000,46057,0.33896437752478886,0.6356959236136615,DEMOCRAT,0.33896437752478886
2004,46057,0.33709730986383263,0.6462969113251411,REPUBLICAN,0.6462969113251411
2008,46057,0.38107416879795397,0.6068688344903179,REPUBLICAN,0.6068688344903179
2012,46057,0.3297529538131042,0.6455424274973147,DEMOCRAT,0.3297529538131042
2016,46057,0.20094134685010862,0.7425778421433744,DEMOCRAT,0.20094134685010862
2020,46057,0.20986052546221212,0.7693804735647097,REPUBLICAN,0.7693804735647097
2024,46057,0.18908865468071917,0.7935523868567886,DEMOCRAT,0.18908865468071917
2000,46059,0.2781880846873461,0.6986706056129985,DEMOCRAT,0.2781880846873461
2004,46059,0.30544124371284864,0.6776406035665294,REPUBLICAN,0.6776406035665294
